,Product Link,Description,ASIN ,Product Description,Manufacturer
0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1OTIyMDA3MzgyMDY5OjE2NzkzOTM0Nzc6c3BfYXRmX25leHQ6MjAxMjE0ODk2Mzg0OTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_305_sspa%3Fkeywords%3Dbags%26qid%3D1679393477%26sr%3D8-305-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Electronics,H6WH7Q8U31,"The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.",Brand: LOOKMUSTER
1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1OTIyMDA3MzgyMDY5OjE2NzkzOTM0Nzc6c3BfYXRmX25leHQ6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_306_sspa%3Fkeywords%3Dbags%26qid%3D1679393477%26sr%3D8-306-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Electronics,7KPBL2PYIP,"Designed for good - A promise of sustainable and ethical production: uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. GRS is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596). Not only that, but our manufacturing processes also conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labor. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals.",Brand: UPPERCASE
2,https://www.amazon.com/ELECTROPRIME-Fashion-Shoulder-Backpack-Comfortable/dp/B07Q3MPWB1/ref=sr_1_307?keywords=bags&qid=1679393477&sr=8-307,,MLNHKK4JN9,,
3,https://www.amazon.com/WILDHORN-Backpack-Compartment-Business-Bookbags/dp/B09P2RP9TG/ref=sr_1_308?keywords=bags&qid=1679393477&sr=8-308,Electronics,1E6GWX3LT9,"WILDHORN all in one executive laptop backpack. Yes, it is! Refresh your official attire with this multi-functional backpack by WILDHORN ideal for business travels. This laptop backpack is carefully engineered to secure your Laptop & Tablet and safely encase other belongings too. No need to worry about your mobile/tablet/Bluetooth headphone and other devices while traveling because this backpack comes with dedicated slots. Built-in according to your comfort on back strap for quick and easy access. It has a dedicated pocket to keep your Power Bank & Hard disc intact/secure. Perfect for your regular office or college as well as travel use. Dedicated laptop & Tablet compartment with cushioned cradle & elastic strap which can safely accommodate up to a 17"" inch laptop. It has stylish front quick access zippered pocket. The front second pocket has an internal organizer which keeps in place your essentials like phone charger, passport, ID card, stationery & other valuables. Large middle compartment to hold enough files, notebooks and journals for your college or clothes and additional supplies for a weekend trip. It comes with Bottle Pocket which helps to secure your bottle while traveling in a rush. It has cushioned anti-sweat air mesh back support & padded anti-sweat back straps with sternum support for ultimate comfort. This specialized construction helps in optimizing weight distribution across the entire back. It has a zippered compartment for your transit card or ID card or we can say quick access pocket.",Brand: WILDHORN
4,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1OTIyMDA3MzgyMDY5OjE2NzkzOTM0Nzc6c3BfbXRmOjIwMTA1NzE1ODIxNTk4OjowOjo&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_309_sspa%3Fkeywords%3Dbags%26qid%3D1679393477%26sr%3D8-309-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Electronics,D0YPEOJMUE,"Designed for good - A promise of sustainable and ethical production: uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. GRS is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596). Not only that, but our manufacturing processes also conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labor. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals.",Brand: UPPERCASE
5,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1OTIyMDA3MzgyMDY5OjE2NzkzOTM0Nzc6c3BfbXRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_310_sspa%3Fkeywords%3Dbags%26qid%3D1679393477%26sr%3D8-310-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Electronics,RYVTSODFGS,"Designed for good - A promise of sustainable and ethical production: uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. GRS is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596). Not only that, but our manufacturing processes also conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labor. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals.",Brand: UPPERCASE
6,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1OTIyMDA3MzgyMDY5OjE2NzkzOTM0Nzc6c3BfYnRmOjIwMTE3Nzk1ODc2OTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_311_sspa%3Fkeywords%3Dbags%26qid%3D1679393477%26sr%3D8-311-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1%26smid%3DA2ZJIE4OXD710M,Electronics,0LV4G16BVA,"Head into the office, then into the gym, and finally into the weekend without missing a beat.",Brand: MOKOBARA
7,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0Njg1OTIyMDA3MzgyMDY5OjE2NzkzOTM0Nzc6c3BfYnRmOjIwMDgwMjg4MjI1OTk4OjowOjo&url=%2FClownfish-Resistant-Polyester-Trolley-Backpack%2Fdp%2FB0BFL7SVSM%2Fref%3Dsr_1_312_sspa%3Fkeywords%3Dbags%26qid%3D1679393477%26sr%3D8-312-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Electronics,H1ASUSS2RS,"Travel all the way with large capacity classic wheels trolley backpack. Efficiently designed to be an ultimate friend while traveling. Comes with 3 main compartments with multiple pockets and laptop sleeve. 1st Main compartment comes with Laptop Sleeve and 1 small zipper pocket for coins etc. 2nd Compartment is spacious to hold laptop or office accessories or documents. 3rd Compartment comes with 2 organizer pockets and 1 open pocket for mobile etc. Water Bottle pocket on both sides along with zippers. Front small zipper pocket for googles etc.This backpack comes with strong cushioned shoulder straps & padded back panel.The trolley bag is provided with two sturdy wheels & retractable telescopic handle. (Total 3 main compartments, 6 zippers outside, 1 zipper inside)",Brand: The Clownfish
8,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDg0NDkwMjk2Mzc1MzE1OjE2NzkzOTMzNTY6c3BfYXRmX25leHQ6MjAxMjE0ODk2Mzg0OTg6OjA6Og&url=%2FLOOKMUSTER-Waterproof-Backpack-College-Business%2Fdp%2FB0BS6YGKMC%2Fref%3Dsr_1_289_sspa%3Fkeywords%3Dbags%26qid%3D1679393356%26sr%3D8-289-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Electronics,UEXD7TE1E1,"The back straps are padded to give the user maximum support and it made with anti-sweat fabric, giving you the comfort throughout the day.",Brand: LOOKMUSTER
9,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMDg0NDkwMjk2Mzc1MzE1OjE2NzkzOTMzNTY6c3BfYXRmX25leHQ6MjAxMjQzMTEwMjQ4OTg6OjA6Og&url=%2Fuppercase-Backpack-2300EBP1-resistant-sustainable%2Fdp%2FB0BWNCV31F%2Fref%3Dsr_1_290_sspa%3Fkeywords%3Dbags%26qid%3D1679393356%26sr%3D8-290-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Electronics,KA8P35D3O0,"Designed for good - A promise of sustainable and ethical production: uppercase is committed to partnering with you in building a world more beautiful. All our products are made from sustainable materials and are GRS (Global Recycle Standard) certified. GRS is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596). Not only that, but our manufacturing processes also conform to the highest and most stringent GRS criteria. We ensure fixed working hours, minimum wages, and no child labor. We maintain strict standards in factory safety, energy management, and waste disposal management. We do not use any restricted or harmful chemicals.",Brand: UPPERCASE
